Date,Canton,Value
2020-03-11,Appenzell Innerrhoden,0.00
2020-03-11,Aargau,2.77
2020-03-11,Valais/Wallis,8.72
2020-03-11,Uri,0.00
2020-03-11,Genève,22.22
2020-03-11,Basel Stadt,25.16
2020-03-11,Bern,3.29
2020-03-11,Basel Land,10.41
2020-03-11,Solothurn,0.37
2020-03-11,Appenzell Ausserrhoden,3.62
2020-03-11,Jura,8.17
2020-03-11,Liechtenstein,7.74
2020-03-11,Nidwalden,9.25
2020-03-11,Zug,8.67
2020-03-12,Schwyz,3.77
2020-03-12,Liechtenstein,10.32
2020-03-12,Genève,30.43
2020-03-12,Graubünden/Grison,20.67
2020-03-12,Valais/Wallis,15.99
2020-03-12,Appenzell Innerrhoden,0.00
2020-03-12,Schaffhausen,1.22
2020-03-12,Basel Land,10.76
2020-03-12,Appenzell Ausserrhoden,9.05
2020-03-12,Glarus,7.43
2020-03-12,Thurgau,2.53
2020-03-12,St. Gallen,5.91
2020-03-12,Jura,10.90
2020-03-12,Obwalden,0.00
2020-03-12,Nidwalden,11.57
2020-03-12,Luzern,3.66
2020-03-12,Vaud,34.66
2020-03-12,Aargau,3.79
2020-03-12,Uri,5.49
2020-03-12,Fribourg/Freiburg,6.90
2020-03-12,Neuchâtel,26.01
2020-03-12,Bern,3.29
2020-03-12,Ticino,45.85
2020-03-12,Basel Stadt,36.97
2020-03-12,Zug,8.67
2020-03-12,Solothurn,0.37
2020-03-12,Zürich,9.07
2020-03-13,Zug,8.67
2020-03-13,Aargau,4.23
2020-03-13,Appenzell Innerrhoden,0.00
2020-03-13,Luzern,4.88
2020-03-13,Basel Stadt,46.72
2020-03-13,Schaffhausen,1.22
2020-03-13,Valais/Wallis,20.35
2020-03-13,Bern,3.19
2020-03-13,St. Gallen,7.68
2020-03-13,Ticino,58.02
2020-03-13,Basel Land,16.31
2020-03-13,Glarus,14.85
2020-03-13,Nidwalden,11.57
2020-03-13,Solothurn,0.37
2020-03-13,Neuchâtel,33.36
2020-03-13,Liechtenstein,12.90
2020-03-13,Appenzell Ausserrhoden,9.05
2020-03-13,Jura,12.26
2020-03-13,Genève,44.05
2020-03-13,Thurgau,2.89
2020-03-13,Schwyz,5.65
2020-03-13,Uri,5.49
2020-03-13,Zürich,10.59
2020-03-13,Fribourg/Freiburg,9.10
2020-03-13,Vaud,46.30
2020-03-13,Obwalden,2.64
2020-03-13,Graubünden/Grison,23.69
2020-03-14,Valais/Wallis,26.46
2020-03-14,St. Gallen,9.06
2020-03-14,Graubünden/Grison,25.20
2020-03-14,Zürich,13.94
2020-03-14,Basel Land,18.05
2020-03-14,Vaud,59.69
2020-03-14,Fribourg/Freiburg,11.30
2020-03-14,Schwyz,5.65
2020-03-14,Nidwalden,11.57
2020-03-14,Aargau,4.38
2020-03-14,Thurgau,3.98
2020-03-14,Liechtenstein,18.06
2020-03-14,Uri,5.49
2020-03-14,Luzern,5.13
2020-03-14,Basel Stadt,50.83
2020-03-14,Appenzell Innerrhoden,12.39
2020-03-14,Solothurn,0.37
2020-03-14,Schaffhausen,1.22
2020-03-14,Jura,19.07
2020-03-14,Genève,67.07
2020-03-14,Zug,10.25
2020-03-14,Obwalden,2.64
2020-03-14,Ticino,74.43
2020-03-14,Neuchâtel,38.45
2020-03-14,Bern,3.19
2020-03-14,Appenzell Ausserrhoden,9.05
2020-03-14,Glarus,19.80
2020-03-15,Obwalden,2.64
2020-03-15,Valais/Wallis,29.36
2020-03-15,Liechtenstein,18.06
2020-03-15,Solothurn,0.37
2020-03-15,Genève,83.29
2020-03-15,Aargau,5.69
2020-03-15,Vaud,70.83
2020-03-15,Basel Stadt,50.83
2020-03-15,Basel Land,20.82
2020-03-15,Glarus,24.75
2020-03-15,Appenzell Ausserrhoden,9.05
2020-03-15,Neuchâtel,41.28
2020-03-15,Fribourg/Freiburg,12.24
2020-03-15,Jura,20.43
2020-03-15,Appenzell Innerrhoden,12.39
2020-03-15,Zürich,15.98
2020-03-15,Zug,10.25
2020-03-15,Graubünden/Grison,32.77
2020-03-15,Schwyz,8.17
2020-03-15,Bern,3.09
2020-03-15,Nidwalden,18.51
2020-03-15,Thurgau,4.70
2020-03-15,St. Gallen,9.65
2020-03-15,Luzern,6.35
2020-03-15,Schaffhausen,1.22
2020-03-15,Uri,5.49
2020-03-15,Ticino,82.36
2020-03-16,Liechtenstein,30.97
2020-03-16,Luzern,8.06
2020-03-16,Appenzell Innerrhoden,24.78
2020-03-16,Glarus,24.75
2020-03-16,Ticino,103.02
2020-03-16,Graubünden/Grison,37.81
2020-03-16,Obwalden,2.64
2020-03-16,Bern,11.50
2020-03-16,Zürich,20.78
2020-03-16,Solothurn,0.37
2020-03-16,Uri,5.49
2020-03-16,Neuchâtel,52.02
2020-03-16,Schwyz,8.17
2020-03-16,Aargau,7.15
2020-03-16,Valais/Wallis,45.94
2020-03-16,Zug,15.77
2020-03-16,Schaffhausen,2.44
2020-03-16,Nidwalden,23.14
2020-03-16,Jura,24.52
2020-03-16,Thurgau,7.23
2020-03-16,Vaud,99.73
2020-03-16,Fribourg/Freiburg,13.49
2020-03-16,Basel Stadt,72.91
2020-03-16,Appenzell Ausserrhoden,9.05
2020-03-16,Basel Land,28.81
2020-03-16,Genève,107.91
2020-03-16,St. Gallen,14.97
2020-03-17,Solothurn,0.37
2020-03-17,Appenzell Ausserrhoden,9.05
2020-03-17,Valais/Wallis,61.35
2020-03-17,Graubünden/Grison,46.38
2020-03-17,Obwalden,2.64
2020-03-17,Zug,22.08
2020-03-17,Basel Land,33.32
2020-03-17,Glarus,29.70
2020-03-17,Bern,11.50
2020-03-17,Liechtenstein,46.45
2020-03-17,Genève,137.74
2020-03-17,Schwyz,7.54
2020-03-17,Fribourg/Freiburg,17.88
2020-03-17,Appenzell Innerrhoden,30.97
2020-03-17,Jura,34.05
2020-03-17,Thurgau,9.77
2020-03-17,Uri,5.49
2020-03-17,Luzern,11.23
2020-03-17,Ticino,118.30
2020-03-17,Aargau,9.05
2020-03-17,Vaud,130.14
2020-03-17,Basel Stadt,82.66
2020-03-17,Zürich,27.35
2020-03-17,Schaffhausen,2.44
2020-03-17,Nidwalden,27.76
2020-03-17,St. Gallen,20.68
2020-03-17,Neuchâtel,63.90
2020-03-18,Uri,13.72
2020-03-18,Luzern,14.65
2020-03-18,Glarus,34.65
2020-03-18,Schaffhausen,9.76
2020-03-18,Jura,35.41
2020-03-18,Schwyz,6.28
2020-03-18,Basel Stadt,91.39
2020-03-18,Zug,25.23
2020-03-18,Neuchâtel,78.03
2020-03-18,Genève,179.39
2020-03-18,Obwalden,2.64
2020-03-18,Nidwalden,41.64
2020-03-18,Zürich,36.36
2020-03-18,Liechtenstein,69.68
2020-03-18,Appenzell Ausserrhoden,19.92
2020-03-18,Aargau,12.55
2020-03-18,Ticino,140.94
2020-03-18,Thurgau,15.19
2020-03-18,Basel Land,42.69
2020-03-18,Bern,18.07
2020-03-18,Valais/Wallis,84.89
2020-03-18,Appenzell Innerrhoden,30.97
2020-03-18,Fribourg/Freiburg,25.73
2020-03-18,St. Gallen,26.00
2020-03-18,Graubünden/Grison,58.47
2020-03-18,Solothurn,0.37
2020-03-18,Vaud,163.17
2020-03-19,Appenzell Innerrhoden,37.16
2020-03-19,Basel Stadt,108.85
2020-03-19,Neuchâtel,93.86
2020-03-19,Basel Land,47.55
2020-03-19,Glarus,39.60
2020-03-19,Uri,19.21
2020-03-19,Luzern,17.82
2020-03-19,St. Gallen,29.94
2020-03-19,Bern,26.67
2020-03-19,Zug,27.59
2020-03-19,Nidwalden,57.84
2020-03-19,Zürich,43.13
2020-03-19,Obwalden,2.64
2020-03-19,Graubünden/Grison,84.69
2020-03-19,Schaffhausen,14.64
2020-03-19,Valais/Wallis,95.65
2020-03-19,Solothurn,0.37
2020-03-19,Jura,40.86
2020-03-19,Liechtenstein,69.68
2020-03-19,Fribourg/Freiburg,32.63
2020-03-19,Thurgau,17.36
2020-03-19,Appenzell Ausserrhoden,18.10
2020-03-19,Genève,224.03
2020-03-19,Ticino,173.49
2020-03-19,Schwyz,6.28
2020-03-19,Aargau,17.95
2020-03-19,Vaud,189.58
2020-03-20,Valais/Wallis,123.27
2020-03-20,Obwalden,2.64
2020-03-20,Vaud,216.86
2020-03-20,Uri,19.21
2020-03-20,Ticino,232.35
2020-03-20,Aargau,23.78
2020-03-20,Zug,35.48
2020-03-20,Basel Land,65.25
2020-03-20,Liechtenstein,92.91
2020-03-20,Schaffhausen,20.73
2020-03-20,Neuchâtel,99.52
2020-03-20,Basel Stadt,130.93
2020-03-20,Appenzell Innerrhoden,37.16
2020-03-20,Thurgau,20.26
2020-03-20,Bern,34.78
2020-03-20,Fribourg/Freiburg,42.99
2020-03-20,Genève,255.87
2020-03-20,Luzern,22.22
2020-03-20,Nidwalden,64.78
2020-03-20,Solothurn,23.79
2020-03-20,Graubünden/Grison,105.86
2020-03-20,Schwyz,4.40
2020-03-20,Appenzell Ausserrhoden,18.10
2020-03-20,Zürich,44.84
2020-03-20,Jura,47.67
2020-03-20,Glarus,49.50
2020-03-20,St. Gallen,37.03
2020-03-21,Genève,280.89
2020-03-21,Graubünden/Grison,121.48
2020-03-21,Zürich,58.19
2020-03-21,Uri,32.94
2020-03-21,Basel Stadt,141.71
2020-03-21,Nidwalden,76.35
2020-03-21,Bern,38.74
2020-03-21,Basel Land,96.14
2020-03-21,Schaffhausen,34.15
2020-03-21,Aargau,30.49
2020-03-21,Vaud,230.87
2020-03-21,St. Gallen,38.80
2020-03-21,Obwalden,2.64
2020-03-21,Neuchâtel,102.91
2020-03-21,Schwyz,4.40
2020-03-21,Fribourg/Freiburg,49.89
2020-03-21,Zug,39.42
2020-03-21,Ticino,247.63
2020-03-21,Appenzell Innerrhoden,37.16
2020-03-21,Jura,61.29
2020-03-21,Appenzell Ausserrhoden,18.10
2020-03-21,Thurgau,25.32
2020-03-21,Solothurn,23.79
2020-03-21,Luzern,27.59
2020-03-21,Glarus,61.88
2020-03-21,Valais/Wallis,137.81
2020-03-21,Liechtenstein,110.97
2020-03-22,Aargau,32.24
2020-03-22,Thurgau,27.85
2020-03-22,Luzern,32.23
2020-03-22,Uri,32.94
2020-03-22,Zug,39.42
2020-03-22,Schwyz,4.40
2020-03-22,Nidwalden,83.29
2020-03-22,Zürich,61.67
2020-03-22,Schaffhausen,36.59
2020-03-22,Vaud,242.38
2020-03-22,St. Gallen,40.77
2020-03-22,Graubünden/Grison,134.09
2020-03-22,Appenzell Ausserrhoden,18.10
2020-03-22,Jura,64.02
2020-03-22,Liechtenstein,116.13
2020-03-22,Bern,38.74
2020-03-22,Neuchâtel,108.57
2020-03-22,Genève,301.31
2020-03-22,Valais/Wallis,146.53
2020-03-22,Basel Land,96.83
2020-03-22,Obwalden,2.64
2020-03-22,Solothurn,23.79
2020-03-22,Glarus,71.78
2020-03-22,Basel Stadt,170.46
2020-03-22,Fribourg/Freiburg,60.87
2020-03-22,Appenzell Innerrhoden,37.16
2020-03-22,Ticino,253.58
2020-03-23,Appenzell Innerrhoden,37.16
2020-03-23,Neuchâtel,124.40
2020-03-23,Genève,329.14
2020-03-23,Glarus,76.73
2020-03-23,St. Gallen,48.85
